Ward name,Old code,GSS_CODE,population_2015,percent_children_15_2015,percent_working_age_2015,percent_aged_65+_2015,mean_age_2013,median_age_2013,area_sq,pop_den_2013,percent_bame_2011,general_fertility_rate_2013,male_life_expect,female_life_expect,rate_ambulance_per_1000pp_ 2014,num_killed_seriously_injured_road_2014,employment_rate_2011,median_house_price_2014,num_propertoes_sold_2014,median_est_household_income_2013,percent_detached_2011,percent_semi_detached_2011,% terraced houses - 2011,percent_flat_2011,percent_household_owned_2011,percent_household_socialrented_2011,percent_household_privaterent_2011,percent_no_qualifications_2011,crime_rate_2014,violence_against_person_rate_2014,deliberate_fires_per_1000pp_2014,percent_area_openspace_2014,cars_per_household_2011,avg_public_transport_accessibility_score_2014,percent_travel_work_bike_2011
Hounslow - Hanworth Park,00ATGG,E05000354,12250,21.1,66.4,12.4,36.4,35,3.6,3347.2,30.8,80.8,79.5,83,118.2,3,72.9,250000,135,34340,6.9,34.1,25.5,33.3,61.1,21.3,14,23.4,70.5,22.4,0.5,41.4,1.1,2.6,2.7
Hounslow - Heston Central,00ATGH,E05000355,12600,21,67.5,11.5,35.2,33,1.7,7500,76.6,73.2,78.2,83.3,115.2,5,66.6,348000,75,33580,5.5,49.5,13.7,31.2,55,19.5,22.9,17.3,53,21.6,0.6,15.8,1.1,2.9,1.5
Hounslow - Heston East,00ATGJ,E05000356,12700,20.4,68,11.6,35.2,32,2,6400,77.4,74.2,82.4,84.3,100.3,3,67.5,248000,112,34030,7.3,41.7,18.8,32.2,56.6,15.7,25.7,16.1,63.3,20.6,0.4,27.1,1.2,2.3,1.1
Hounslow - Heston West,00ATGK,E05000357,12750,22.9,66.2,10.9,34.4,32,3.8,3381.6,76.2,72.6,79.5,83.6,130.7,4,62.2,280000,61,29490,4.4,35.1,21.2,38.8,46.4,33.7,17.3,21.8,100.3,27.4,1.5,39.1,1.1,2.3,1.2
Hounslow - Hounslow Central,00ATGL,E05000358,16200,20.3,70.1,9.6,34,32,1.7,9441.2,70.7,81.1,79.9,85.8,156.3,1,71.4,249950,125,35830,4.9,26.8,17.1,51.1,38.3,16.9,38.7,12.8,166.8,47.7,0.5,11.1,0.7,5.1,1.5
Hounslow - Hounslow Heath,00ATGM,E05000359,15250,24.3,67.5,8.3,32.6,31,2.8,5446.4,72.6,80.5,79.2,87.7,121.7,1,67.6,249950,121,32530,5.8,30.6,22.9,40.4,44.7,20,31.9,15.7,64,25.9,0.7,48.6,0.9,3.2,2
Hounslow - Hounslow South,00ATGN,E05000360,11700,19,67,14,37.7,36,1.8,6555.6,45.1,66,82.2,88.6,86.8,1,74.1,375000,107,39920,5.6,54.5,24.5,15.3,74,5.1,19.2,15.7,41.4,10,0.2,17.9,1.3,2.5,3.5
Hounslow - Hounslow West,00ATGP,E05000361,13750,19.2,70.1,10.7,35.1,32,1.6,8437.5,75.9,88.2,77.7,80.1,136.9,4,69.6,270000,71,31890,6.3,38.7,20.2,34.7,47,18.9,30.1,16.3,92.1,30.7,0.5,10.2,0.9,3.9,1.5
Hounslow - Isleworth,00ATGQ,E05000362,12150,22.3,66.9,10.8,35.2,34,2,6125,34.8,86.7,77.8,84.3,128.8,0,70.6,301000,189,34790,2.5,17.9,28.8,50.7,44.3,34.1,18.6,19.9,69.5,22.3,0.7,22.6,0.9,2.4,4.7
Hounslow - Osterley and Spring Grove,00ATGR,E05000363,13350,19.3,67.8,12.9,36.7,35,6.3,2134.9,54.4,68.3,82.4,83.7,107.1,4,75.3,345500,182,42140,8.8,39.4,9.7,42,61.8,6.9,28.3,10.8,73.2,18.1,0.4,54.3,1.2,2.8,2.8
