Ward name,Old code,GSS_CODE,population_2015,percent_children_15_2015,percent_working_age_2015,percent_aged_65+_2015,mean_age_2013,median_age_2013,area_sq,pop_den_2013,percent_bame_2011,general_fertility_rate_2013,male_life_expect,female_life_expect,rate_ambulance_per_1000pp_ 2014,num_killed_seriously_injured_road_2014,employment_rate_2011,median_house_price_2014,num_propertoes_sold_2014,median_est_household_income_2013,percent_detached_2011,percent_semi_detached_2011,% terraced houses - 2011,percent_flat_2011,percent_household_owned_2011,percent_household_socialrented_2011,percent_household_privaterent_2011,percent_no_qualifications_2011,crime_rate_2014,violence_against_person_rate_2014,deliberate_fires_per_1000pp_2014,percent_area_openspace_2014,cars_per_household_2011,avg_public_transport_accessibility_score_2014,percent_travel_work_bike_2011
Newham - East Ham Central,00BBGG,E05000480,16200,22.4,70,7.5,32,30,1,16200,81.9,94.6,79.2,84.3,142.5,6,58,250000,91,32380,8.6,9.8,49.5,32,43,15.7,39.7,19.3,111.8,31.5,0.7,10.8,0.6,4.7,1.2
Newham - East Ham North,00BBGH,E05000481,14250,21.5,70.8,7.8,32.2,29,0.9,15722.2,90.8,80.9,76.2,81.4,111.1,4,56.3,249995,53,32340,8.7,10.9,48.1,32.3,46.4,17.6,34.1,19.9,54.7,18.9,0.3,12.4,0.7,4.4,0.8
Newham - East Ham South,00BBGJ,E05000482,16250,26.3,66.4,7.3,31.2,30,1.8,8861.1,67.7,84.4,77.8,82.1,121.1,2,59,240000,153,31430,8,12.1,44.5,35.5,42,31.1,25.2,24.3,67.1,21,0.6,23.5,0.7,2.6,1.5
Newham - Forest Gate North,00BBGK,E05000483,16550,21.2,71.4,7.4,32.7,30,1.2,13750,64.1,65.1,77.6,83.6,94.3,6,64.7,313000,162,34270,5.5,11.2,38.1,45.1,35.5,28.9,32,17.8,64.7,20.4,0.8,13.8,0.6,3.2,2.9
Newham - Forest Gate South,00BBGL,E05000484,18150,20.2,73.4,6.4,31.7,29,1.2,14875,68.2,77.5,76.5,79.1,117.4,1,62.1,263900,180,34550,5.9,11.3,24.9,57.8,29.6,26.4,40.5,17.6,87.9,28.3,0.7,2.2,0.6,3.9,2.2
Newham - Green Street East,00BBGM,E05000485,16250,22.3,71.5,6.2,30.9,29,0.7,23071.4,89.9,98.1,80.6,84.2,94.7,1,55.4,260000,74,31570,10.2,10.2,45.9,33.6,42.9,12.8,42.2,20.3,60.1,18.5,0.3,2.4,0.6,3.7,1
Newham - Green Street West,00BBGN,E05000486,15500,21.5,70.7,7.8,31.9,29,0.8,19187.5,89.3,96.3,78.5,85.3,136.9,8,54.3,250000,64,31080,9.2,10.3,44.2,36.2,43.8,13.5,40.8,21.6,71.2,23.5,0.6,3.2,0.7,4,1
Newham - Little Ilford,00BBGP,E05000487,17100,27.9,65.5,6.7,30.3,28,1.9,8921.1,82,89.9,76.3,81.4,127,7,53,230000,133,29730,7.3,8.8,36.8,47,32.9,30.1,34.4,23.2,75.6,22.9,0.7,48.6,0.6,2.7,1.1
Newham - Manor Park,00BBGQ,E05000488,15600,24,68.8,7.1,31.4,29,1.3,11923.1,81.5,91,76.7,81.3,117.8,1,55.8,249974.5,122,31580,7.3,9.2,39.7,43.7,38.7,22.5,36.3,20.7,66.8,21.9,0.5,26.6,0.7,4,1.6
Newham - Plaistow North,00BBGR,E05000489,15800,23.4,69,7.6,32,30,1,15700,73.4,83.6,78.3,85,118.8,1,58.4,250000,96,30740,5.7,10.5,31.7,52.1,28.8,41.7,25.6,23.6,61.9,21,0.4,10.7,0.5,4.4,1.8
Newham - Plaistow South,00BBGS,E05000490,16800,27.9,65.6,6.5,30.9,29,1.4,11892.9,67.3,80.7,79.1,82.2,153,4,61.8,250000,153,31750,7.6,12,51.4,29,41.9,25.1,30.7,21.8,92,29.9,0.8,14.6,0.6,4.4,1.8
Newham - Royal Docks,00BBGT,E05000491,16550,20.8,75.5,3.7,29.7,29,4.8,2843.8,54.1,52.9,77.3,87.3,98.6,3,71.9,303500,282,38580,2.2,5.5,16.8,75.4,25.5,30.8,41.3,14.1,71.5,15,0.5,56.8,0.7,2.8,1.8
Newham - Stratford and New Town,00BBGU,E05000492,26700,13.9,81.4,4.7,31.5,29,4.2,5333.3,59.2,41.7,77.7,83.3,233.1,8,68.9,280000,231,35840,3.4,5.8,21,69.6,19.8,31.8,42.5,13.9,240.9,37.8,0.8,44.7,0.4,5.8,2.4
Newham - Wall End,00BBGW,E05000493,15150,25.4,67.9,6.8,31.2,29,1.4,10750,82.2,100,79.7,82.3,97.6,3,57.1,250000,98,32330,10.4,13.8,49.4,26.5,44.3,17.7,36.2,19.6,46.6,17.7,0.3,33.9,0.7,3.7,0.9
Newham - West Ham,00BBGX,E05000494,16150,20.3,72,7.6,32.7,30,1.3,12269.2,65.5,69.1,81.5,80.9,115,2,63.1,273500,160,32310,5.5,8.1,35.7,50.7,28.4,40.9,28.1,20.9,58.8,19.8,0.5,27.2,0.5,4.7,2.1
Redbridge - Aldborough,00BCFY,E05000495,15800,22.3,65.7,12,35.4,33,8.6,1796.5,61.3,60.9,78.5,81.7,130.3,4,67.4,315000,233,37310,4.9,25.1,43.5,26.6,65.3,11.3,20.1,19.6,66.3,16.5,0.2,78.2,1.1,2.7,0.6
Redbridge - Barkingside,00BCFZ,E05000496,13150,19.7,65.3,15,37.9,35,1.5,8766.7,64.2,52.2,84.5,87.5,113.8,3,67.3,368750,120,39620,4.2,31.5,40.2,24.1,74.7,4.7,19.3,17.2,50.5,16.7,0.2,1.3,1.2,3.2,0.7
Redbridge - Bridge,00BCGA,E05000497,11850,20,65.2,14.8,38,37,2.6,4596.2,28.1,69.2,81.8,86.4,84.6,2,73.2,340000,210,39320,4.3,32.5,38.1,25.1,69.8,13.8,14.8,19.9,58.6,16.5,0.2,35.8,1.1,2.5,1.1
Redbridge - Chadwell,00BCGB,E05000498,14850,25.4,64.5,10.1,33.9,32,1.5,9900,56.9,80.6,79.2,81.5,105.1,1,68.4,250000,187,36700,3.8,25.9,38.7,31.6,65.3,10,21.3,18.5,54.5,18.2,0.2,5,1,2.4,0.9
Redbridge - Church End,00BCGC,E05000499,11900,19.5,68.2,12.4,37.1,35,1.5,7966.7,26.5,61.4,80.1,85.8,81.9,2,79.3,340000,212,45410,4.6,26.8,15.7,52.9,62.2,8.2,26.1,12.3,61,13.4,0,4.8,1.1,2.7,1.9
Redbridge - Clayhall,00BCGD,E05000500,13600,19.5,65.1,15.4,37.9,36,2.5,5480,71,51.6,83,85.6,103.8,1,67.8,390000,132,41450,7.2,48.7,30.4,13.6,80.8,4.9,13,17,54,12.2,0.2,22,1.4,2.3,0.6
Redbridge - Clementswood,00BCGE,E05000501,16950,27.9,64.7,7.4,30.7,29,1.3,12423.1,84.2,91,79,83.6,173.9,5,56.5,235000,141,30230,7.7,12.4,45,34.9,45.4,10.7,41,18.6,136.7,43.1,0.4,7.1,0.8,3.4,0.6
Redbridge - Cranbrook,00BCGF,E05000502,13300,21.6,65.6,12.7,36.1,33,2.4,5562.5,75.4,77.1,79.9,82.5,114.6,4,62.8,367500,102,38290,3.5,27.8,39.7,28.9,68.3,5.3,25,17.6,73,18.7,0.5,39.9,1.2,3.8,0.9
Redbridge - Fairlop,00BCGG,E05000503,12900,20.8,65.2,13.9,37.2,36,3.6,3611.1,34.9,78.2,79.6,84.3,106.8,1,70.8,310000,218,37560,7.4,28.8,37.7,26.2,69.7,9.7,18.4,21.2,57.7,20.7,0,48.4,1.2,2.8,0.6
Redbridge - Fullwell,00BCGH,E05000504,13150,20.9,63.3,15.8,38.2,37,2.2,6045.5,48.5,71.7,84,85.1,118.4,2,66.7,339497.5,168,35690,7.6,43.7,21.9,26.8,68.8,14.9,14.5,23.4,55.4,16.7,0.1,23.7,1.2,2.4,0.8
Redbridge - Goodmayes,00BCGJ,E05000505,13400,25.3,66.2,8.5,32.7,31,1.6,8437.5,75.2,84.9,78.8,84,113.2,2,61,307000,117,33820,6.3,22.1,42.2,29.3,57.3,8.5,32.1,18.1,70.3,21.7,0.7,27.7,1,3.7,0.8
Redbridge - Hainault,00BCGK,E05000506,13550,22.7,63.3,14.1,36.7,36,5.6,2410.7,29.8,64.8,77.5,82.3,119.2,1,65.1,249999,192,31520,4.2,34.8,38.7,22,57.9,27.3,12.3,28.9,60.4,21.4,0.5,62.6,1,2.4,1
Redbridge - Loxford,00BCGL,E05000507,17700,29.2,63.9,6.9,30.2,28,1.3,13423.1,83.5,94.6,76.4,81.3,144.7,2,53.5,193000,179,28500,8.9,12.2,42.8,36,41.1,22.8,32.7,20.1,86.2,28.5,0.5,16.8,0.7,3.4,0.7
Redbridge - Mayfield,00BCGM,E05000508,13950,24.4,63.8,11.8,34.6,32,1.9,7394.7,73.3,88.7,81.2,83.4,99.3,1,63.5,305000,134,35630,10.8,26.6,47.3,15.3,71.7,7.6,18.8,20.5,52.5,15.8,0.1,14.3,1.2,2.7,0.9
Redbridge - Monkhams,00BCGN,E05000509,10650,16.5,61.7,21.8,43,44,3.1,3451.6,21.1,60,82.1,84,96.5,1,76.2,499747.5,198,48780,28.4,27.3,11.9,32.1,81.4,4.4,12.5,15,48.1,9,0.2,31,1.4,2.6,1.5
Redbridge - Newbury,00BCGP,E05000510,17450,24.8,65.4,9.8,33.3,31,2.1,8309.5,77.2,67.6,80.9,87.4,91.6,2,63.2,315000,115,35550,4.5,17.8,48.2,29.3,60.9,10,26.4,17.4,54.9,15,0.4,21.4,1.1,3.1,0.8
Redbridge - Roding,00BCGQ,E05000511,12550,23.3,65.8,11,35.3,35,2.3,5434.8,37.2,63.5,81.5,85,77.2,3,73.8,302500,254,41040,2.8,31.1,27.2,38.9,64.1,15.9,18.7,15.9,50.3,12.8,0.4,35.7,1.1,2.5,1.6
Redbridge - Seven Kings,00BCGR,E05000512,16950,24.9,66.1,9,32.9,31,2.1,7809.5,76.7,84.7,79.9,83.5,139.3,1,60.1,294000,126,34480,6.1,20.4,42.9,30.5,57.1,8.2,32.7,18.4,87.3,29.4,0.3,21.4,1,3.1,0.8
Redbridge - Snaresbrook,00BCGS,E05000513,12100,17.8,65.4,16.8,40.3,38,2,6100,30.2,62.6,79.8,85,132.8,2,78.1,361392.5,254,45160,7.3,19.8,16.5,56.3,62.1,11.8,24.4,14.9,51.8,10.9,0.2,12.6,1,3.6,2.4
Redbridge - Valentines,00BCGT,E05000514,15050,26.2,64.9,8.8,32.6,31,1.5,9900,77.6,98.2,78.6,83.6,141.4,6,60.6,225000,119,34900,4.7,13.1,31.6,50.5,46.9,8.9,42.2,16.6,104.5,31.1,0.3,13.3,0.8,4.5,1.1
Redbridge - Wanstead,00BCGU,E05000515,11700,20,63.5,16.5,39.5,40,5.2,2278.8,30,71.6,80,86,91.9,2,74.5,460000,141,46370,6.2,31.6,30.4,31.6,71.5,14.3,13.1,15.2,71.8,9.2,0.8,66.5,1.1,2.5,3.2
Richmond upon Thames - Barnes,00BDFW,E05000516,10500,19.9,64.1,16,39,39,3,3500,14.3,55.2,83.4,86.7,89.9,4,72.3,1362500,144,55450,6.6,27.1,22.9,43.4,57.5,17.9,22.7,9.1,55.7,9.6,0,54.4,1,3.4,7.6
Richmond upon Thames - East Sheen,00BDFX,E05000517,10500,23.6,60.7,15.7,38.2,39,5.8,1810.3,9.3,82.4,84.4,88.2,66.7,6,78.2,985000,189,56090,11.5,27.2,31.3,29.9,70.2,7.6,21,6.6,48.7,8.6,0.2,76.6,1.1,2.6,7.8
Richmond upon Thames - Fulwell and Hampton Hill,00BDFY,E05000518,10300,21.8,64.1,14.1,38.1,39,1.9,5421.1,9.9,77.1,80.5,83.9,87.8,2,79.6,480000,204,48810,10,24.9,31.4,33.6,71.6,8,19.4,10.8,44.7,11.6,0.1,32.7,1.1,3.2,7
"Richmond upon Thames - Ham, Petersham & Richmond Riverside",00BDFZ,E05000519,10550,19,63.2,17.8,40.4,40,9.4,1122.3,15.9,62.6,79.3,86.8,117.9,4,73.4,500000,178,44870,10.4,15.3,30.5,43.8,59.7,18.5,19,14.1,56,14,0.7,81.9,1,2.1,7.9
Richmond upon Thames - Hampton,00BDGA,E05000520,10250,20.1,61.7,18.2,40.3,41,6.9,1478.3,11.3,69.2,81.8,83.6,111.1,4,77.2,599950,169,46750,18,29.2,23.2,27.7,68.2,13.8,15.8,12.5,49.7,11,0.3,74.7,1.2,2.7,6
Richmond upon Thames - Hampton North,00BDGB,E05000521,9600,19.4,63.4,17.2,39.8,40,1.9,5052.6,16.3,65.6,79.1,86.1,115.5,2,73.5,335000,174,39440,15.9,25.8,30.8,27.4,62.1,22.5,12.4,17.6,47.9,15.8,0.4,28.2,1.2,2.1,5.5
Richmond upon Thames - Hampton Wick,00BDGC,E05000522,10550,20.3,65.8,13.9,38.4,39,2.7,3888.9,11.4,53,80.9,87.8,98.6,1,73.1,455000,217,46760,11.5,17.3,17.6,53.1,62.3,15.1,20.2,10,46.2,10.8,0,50,1.1,2.7,6.6
Richmond upon Thames - Heathfield,00BDGD,E05000523,10600,19.9,64.1,16,38.2,37,1.9,5552.6,30.4,76.7,82.1,83.6,106.6,2,70.8,380500,104,36950,7.5,56.4,10.7,25.5,65.3,21.2,11.4,20.4,55.3,19,0.6,27.1,1.2,2,3.6
Richmond upon Thames - Kew,00BDGE,E05000524,11650,21,63.8,15.2,38.7,39,3.6,3236.1,15.3,64.6,84.5,89,87.2,2,77.1,630000,183,52130,8.5,20.1,24.3,46.9,60.2,9.9,27.4,7.5,56.7,9.3,0.4,56.7,1,2.9,5.7
Richmond upon Thames - Mortlake and Barnes Common,00BDGF,E05000525,11100,23.4,63.9,12.7,36.9,37,1.9,5815.8,11.7,91.8,82.3,86.7,76.3,4,77.9,746500,226,50100,3.5,11,35.7,49.8,58.1,16,24.3,9.8,64.1,14.4,0.4,39.1,0.9,3,8.6
Richmond upon Thames - North Richmond,00BDGG,E05000526,11050,19.9,65.6,14.5,38.2,37,2.8,3910.7,15.7,70.4,83.7,87.6,91.6,2,78.4,625625,168,50860,3.1,22.7,32.3,41.9,56.6,16.9,24.5,10.2,58.6,14.1,0.2,54.1,0.9,4.4,6.2
Richmond upon Thames - St. Margarets & North Twickenham,00BDGH,E05000527,11800,23.1,67.7,9.2,35.3,36,2,5775,12.3,88.3,85.2,85.8,78.8,4,80.8,600000,225,52870,9.4,23.7,25.8,40.6,68.3,4,25.3,6.6,58.3,11.5,0.3,23.6,1.1,3.1,6.1
Richmond upon Thames - South Richmond,00BDGJ,E05000528,11100,17.1,68.7,14.2,38.7,37,2.7,4092.6,13.1,68.6,81.5,86,128.8,4,76,655000,248,52690,7.5,12.2,21,59.4,51.5,13.9,32.7,7.1,110.7,22.1,0.1,47.4,0.9,4.2,3.8
Richmond upon Thames - South Twickenham,00BDGK,E05000529,10100,19.6,68.6,11.8,36.6,36,1.7,5970.6,9.7,67.2,83.7,87.3,75,3,76.8,555500,196,51380,6.3,24.3,35.8,32.8,70.5,6.6,21.3,6.4,35.3,9,0.2,26.7,1.1,3.5,5.9
Richmond upon Thames - Teddington,00BDGL,E05000530,10550,19.3,65.5,15.2,39,39,4.3,2453.5,8.9,59.6,80.9,85.5,138.6,4,79.9,499950,190,50600,7.2,20.5,26.3,46.1,66.3,8.5,23.5,7.7,46.4,10.1,0.1,64,1.1,3.2,5.5
Richmond upon Thames - Twickenham Riverside,00BDGM,E05000531,10650,19,68.1,12.9,38.2,37,2,5325,10.3,66.1,81.7,83.8,103.7,1,80.7,458725,212,51350,4.6,14,20.6,60.2,57.5,6.2,34.3,6.2,66.7,20.2,0.3,37.8,0.9,4.5,4.8
Richmond upon Thames - West Twickenham,00BDGN,E05000532,10750,22.5,64.8,12.7,36.8,37,2.5,4280,16,77.3,79.4,88.6,93,4,79.5,450000,217,45040,3.4,30.3,41.2,25.1,71.7,11.5,15.3,13.4,55.2,13.6,0.4,45.6,1.1,2.7,6.2
Richmond upon Thames - Whitton,00BDGP,E05000533,10050,19.1,62.9,17.9,39.5,39,1.6,6250,21.5,62,80.2,85,104.8,1,76.5,420000,156,42230,8.1,46,23.7,22.3,73.7,9.8,14.7,17,49.6,13.3,0.5,21.2,1.2,2.4,5.4
Southwark - Brunswick Park,00BEGC,E05000534,13600,19.8,73.1,7.1,33.4,32,0.9,14833.3,53.3,72.9,76.6,84.1,128.7,2,66.8,346500,162,36310,1.8,4.8,19.3,74.1,30.1,46.6,20.5,15.2,104.8,33.6,0.6,7,0.5,4.1,10.3
Southwark - Camberwell Green,00BEGD,E05000535,15950,21.3,71.7,7,33.5,32,1,15450,61.1,65.3,74.3,80.9,145.9,3,64.6,310000,113,31840,1.1,2.3,6.9,89.6,15.4,63.5,18.5,19.3,111.2,37.1,1,1.6,0.4,5.6,7.5
Southwark - Cathedrals,00BEGE,E05000536,17250,9.9,83.1,7,33.5,29,1.8,9027.8,38.4,34.6,76,84.5,233.1,9,62.9,580000,201,40430,1,1.9,8.3,88.9,24,42.8,28.7,12.7,184.9,32.3,0.7,15.7,0.4,8,7.5
Southwark - Chaucer,00BEGF,E05000537,16200,14.3,80.5,5.2,31.6,29,0.8,19750,49.9,34.9,80.9,83.7,132.8,6,66.4,442000,187,37780,0.5,0.9,3,95.6,21.4,43.3,29.7,11.3,114.4,29.4,0.1,5.6,0.4,7.2,7
Southwark - College,00BEGG,E05000538,11900,20.6,67.4,12,36.7,36,3.2,3687.5,36.6,77.4,80.2,86.6,108.6,5,71.1,350000,205,42600,10,10.7,12.7,66.6,49.5,27.2,20.6,13.6,73.3,16.6,0.4,43.7,0.8,3.4,5.4
Southwark - East Dulwich,00BEGH,E05000539,12400,20,70.9,9.1,35.6,35,1,12250,28.2,87.9,79.1,85.2,106.2,2,79.2,572500,262,48670,2.2,13.3,35.5,48.9,52.3,20.3,25.8,12.3,60.3,15.6,0.2,0.7,0.7,4.1,8.9
Southwark - East Walworth,00BEGJ,E05000540,13850,17.8,74.4,7.8,33.3,30,1.1,11545.5,51.8,53,77.5,83.2,206.5,3,62.5,315000,98,31010,1.6,3.2,12.2,82.9,15.7,53.9,27.1,20.8,159.3,44.6,0.3,24.1,0.4,5.8,7
Southwark - Faraday,00BEGK,E05000541,13050,23,69.5,7.5,32.8,31,0.9,14333.3,60.7,87.5,79.3,84,122.5,3,62.3,315000,83,30760,0.8,1.8,8.4,89.1,13.6,68.4,16.7,21.8,97.4,30,1.4,30,0.4,4.7,6.9
Southwark - Grange,00BEGL,E05000542,17600,14.1,80.2,5.7,32.7,30,1.2,13750,39.1,35,75.4,82.2,198.7,2,69.1,500000,320,38500,0.7,1.7,6.6,90.8,21.9,45,29.8,15.7,106.2,25.5,0.8,4.5,0.4,5.1,7.1
Southwark - Livesey,00BEGM,E05000543,15000,22.9,68.5,8.6,33.3,31,1.4,10357.1,62.2,67.2,78.6,85,148.5,5,60.3,289995,101,28880,2.5,4.7,15.2,77.3,15.7,66.9,14.5,23.8,98.2,31.9,0.6,4.5,0.4,4.3,4.9
Southwark - Newington,00BEGN,E05000544,15500,16.9,75.1,8,34.1,31,0.8,18562.5,48.2,50,78.9,83,176,4,66.3,380000,141,34190,0.9,2.8,12.9,83.3,21.9,54.2,21.3,19.4,110.4,31.7,0.9,3.7,0.4,5.8,8.7
Southwark - Nunhead,00BEGP,E05000545,13850,20.7,70.3,9,34.8,33,1.3,10538.5,55.5,87.5,76.5,78.7,149.2,2,65,356250,171,33540,3.2,7.1,30.9,58.6,30.8,47.4,18.9,21.1,68.7,23.8,0.6,20.1,0.5,4.8,7.4
Southwark - Peckham,00BEGQ,E05000546,15350,23.7,69.1,7.2,32.2,30,0.9,16666.7,70.8,75.8,76.1,80.7,144.6,1,61.2,285000,147,30030,2.6,6.7,18,72.6,18.8,59.4,17.4,19.6,95.7,32.7,0.5,7,0.5,4.1,5
Southwark - Peckham Rye,00BEGR,E05000547,13550,21.7,69.8,8.5,34.5,34,2.3,5847.8,35.8,79.2,80,83.8,88.8,2,74.9,421000,241,42820,2.3,13.6,23.3,60.7,46.7,25.3,25.6,13.8,56.5,15.9,0.1,45.7,0.7,3.5,9.2
Southwark - Riverside,00BEGS,E05000548,16600,13.6,80.1,6.4,34.3,32,1.3,11923.1,31.2,43.5,79.6,83.9,133.2,3,74.9,585000,299,43110,0.5,1.2,5.2,92.7,28.7,34.3,32.3,13.5,101.9,20.8,0.4,23.2,0.5,4.4,5.5
Southwark - Rotherhithe,00BEGT,E05000549,15050,17.7,75.4,6.9,33.2,31,1.5,9600,40.9,57.7,78.1,82.5,136.3,1,69.3,421800,185,36970,1.3,4.5,13.6,80.6,24.3,45.6,25.7,17.5,97.5,25.6,0.7,34.1,0.5,5.3,5.4
Southwark - South Bermondsey,00BEGU,E05000550,14400,19.8,72.9,7.4,33.1,31,1,14050,44.8,58.7,78.3,84.6,119.3,0,64.8,288025,112,31150,1.9,4.9,16.4,76.8,21.2,52.3,21.8,21.9,103.3,28.6,0.3,3,0.5,3.7,6.3
Southwark - South Camberwell,00BEGW,E05000551,13200,19.2,73.5,7.3,33.3,32,1.3,9884.6,44.1,65.7,79.7,87.6,86.7,1,70.7,396089,184,41130,2.2,10.9,16.6,70.3,39.7,37.9,20.2,12.4,52.2,15.8,0.2,19.9,0.6,4.6,8.8
Southwark - Surrey Docks,00BEGX,E05000552,15400,12.7,81.1,6.1,33.9,32,1.9,7605.3,30.9,42.9,78.5,82.4,81,3,77.7,415000,289,45410,1.6,7.6,20.8,68.8,38.4,23.9,35,11.8,53.7,11,1.4,40.3,0.6,2.9,6.3
Southwark - The Lane,00BEGY,E05000553,16450,21.6,69.7,8.8,34.2,33,1.4,11357.1,50.7,75.4,79.1,83,153.3,7,68.9,407500,170,37940,2.8,8.6,26,62.7,32.5,41.5,21.7,17.5,138.1,40.1,0.4,6,0.5,6,9.9
Southwark - Village,00BEGZ,E05000554,12500,22.3,65.7,12,36.8,37,2.8,4446.4,20.1,57.4,83.7,85.9,69.8,1,77.2,850000,173,58400,6.5,29.4,31.5,32.5,64.9,15.5,18.2,9.4,57.5,9.5,0,33.8,1,4.1,10.2
Sutton - Beddington North,00BFGC,E05000555,10550,20.7,64.8,14.5,38.5,39,5,2110,23.5,60,80.4,86.2,97.9,1,77.2,289000,183,39290,7,42.7,35.2,15.1,79.9,9,10.1,19.8,59.6,14.8,0.3,53,1.3,2.6,2.2
Sutton - Beddington South,00BFGD,E05000556,10900,21.4,62.7,15.9,38,38,3.1,3548.4,28.8,46.7,80,84.6,105.9,1,69.1,386000,112,35600,24.4,23.7,22.1,29.8,54.7,35.9,5.8,21,52.9,16.3,0.6,39,1.3,2,1.6
Sutton - Belmont,00BFGE,E05000557,10350,18.5,63.9,17.6,40.2,40,2.3,4500,22.2,55.2,80.7,85.6,123.9,2,76.2,290000,203,44260,22.6,18.1,14.6,44.7,69.9,10,18.8,13.7,35.6,11,0.2,19,1.2,2.3,1.6
Sutton - Carshalton Central,00BFGF,E05000558,10400,19.8,64.9,15.3,39.1,39,2,5200,13.7,67.6,82.2,84.7,85.6,2,78.6,318000,181,42200,12.4,40.1,16.9,30.6,75.5,7,16.7,15.4,44.4,12.7,0.3,26.9,1.2,3.3,2.9
Sutton - Carshalton South and Clockhouse,00BFGG,E05000559,10200,20.8,62.3,16.9,39.4,41,7.1,1422.5,16.7,52.6,81.5,84.4,79.9,3,76.5,419995,161,44270,25.5,44.1,11.6,18.6,81.2,10.6,7.2,15.5,34.1,9.3,0.3,68.2,1.5,2.1,1.7
Sutton - Cheam,00BFGH,E05000560,10550,18.5,61.1,20.3,41.6,43,3.9,2705.1,21.2,46.1,82.4,83.1,104.9,0,76.4,376000,157,46220,38.2,23,18.6,20.2,83.4,2.5,13,14.6,33.9,7.4,0.3,24.7,1.5,2.2,1.8
Sutton - Nonsuch,00BFGJ,E05000561,10900,17.5,63.6,18.9,41.1,42,1.9,5736.8,15.3,55.9,83.5,88.5,110.6,0,79.1,388500,142,42640,9.1,44.4,27.5,18.9,85.5,3.6,10,18.6,44.4,10.2,0.2,10.4,1.4,2.3,2.3
Sutton - St. Helier,00BFGK,E05000562,12300,24.7,64.7,10.7,34.7,34,1.5,8200,25.5,66.1,77.4,83.8,144.2,4,69.6,248000,124,31040,3.5,14.3,59.8,22.4,45.6,40.5,11.8,27.3,71.9,28.7,0.4,25.8,1,2.9,1.8
Sutton - Stonecot,00BFGL,E05000563,11000,18.7,65.3,16,39.3,40,2,5500,20.9,46.2,79.6,83.1,80,1,77.9,347500,164,39210,2.9,50.1,35.3,11.8,85.5,3.7,9.7,20.5,48.5,11.5,0.8,21.5,1.4,2.5,1.9
Sutton - Sutton Central,00BFGM,E05000564,11550,21.4,67.4,11.2,36,35,1.3,8769.2,24.1,79.3,79.4,82.8,196.8,1,75.6,240000,312,35660,2.4,14,23.2,60.3,51,22.7,23.1,18.6,158.4,46.8,2,12.9,0.8,4.9,2.2
Sutton - Sutton North,00BFGN,E05000565,10600,20.9,61.7,17.4,39.5,39,1.9,5605.3,21.9,73.7,81.1,84.4,119.1,3,75.6,300500,194,38060,6.6,36.9,28.3,28.1,74.2,11.1,13.6,21.6,46.1,13.7,0.2,28.5,1.1,3.3,2.1
Sutton - Sutton South,00BFGP,E05000566,10000,16.9,66,17,40.3,37,1.3,7653.8,24.4,80.9,80,80.9,148.3,0,78.1,250000,239,40460,7.7,7.8,7,77.5,54.4,11.9,32.8,15.7,42.5,13.6,0,8.1,0.9,3.3,1.7
Sutton - Sutton West,00BFGQ,E05000567,10900,18.6,67.2,14.2,38.5,37,1.8,6055.6,23,69.4,80.5,83.1,90.4,2,79.3,270000,222,41610,8.5,23.8,15.9,51.9,68.3,3.9,26.8,13.5,33.8,12.2,0.1,23.1,1.1,3.5,2.2
Sutton - The Wrythe,00BFGR,E05000568,10500,20.2,65.8,14.1,37.8,38,1.5,7000,16.9,68.9,77.4,82.5,95,1,77.5,257500,188,36790,2.3,33.1,30.7,34,71.5,14.7,12.7,22.2,61.4,17.9,0.5,18,1.1,2.6,2.3
Sutton - Wallington North,00BFGS,E05000569,10900,20.8,65.2,14,37.8,38,1.6,6843.8,19.6,73.2,80.7,83.9,102.8,3,76.8,272000,171,38710,4.5,34.3,18.4,42.7,67.9,12.9,17.4,16.4,50.6,14.9,0.4,19.2,1.1,3.5,2
Sutton - Wallington South,00BFGT,E05000570,10650,18.8,63.7,17.5,40.2,39,1.7,6235.3,21.3,61.4,79.7,85.1,161.6,1,74.2,246000,188,37960,11.9,20.8,13.2,54.2,63.7,16.4,18.6,18.7,50.5,16,0.1,9.5,1.1,3.4,1.8
Sutton - Wandle Valley,00BFGU,E05000571,12250,24.5,66.3,9.2,33.8,33,2.1,5761.9,24.8,71,78.7,81.2,108.8,2,72,243500,156,32330,3.6,14,48.8,33.7,50.1,33.6,14.3,23.7,65.6,22.6,0.7,40.5,1,2.4,3
Sutton - Worcester Park,00BFGW,E05000572,11950,22.1,63.4,14.4,37.4,37,2,5975,20,75.7,81.8,86.6,94.5,1,78.9,338000,271,40610,7.1,35.8,35.5,21.5,76.6,6.4,15.7,17.2,44.6,16.6,0.6,22.3,1.2,2.4,2.7
Tower Hamlets - Bethnal Green North,00BGFW,E05000573,14750,17.8,75.7,6.5,32.2,30,0.8,17812.5,49.4,49.6,74.7,82.1,137.2,2,64.6,383000,173,36230,0.9,1.8,7.6,89.6,21.6,46,29.8,22.1,119,37,0.9,6.3,0.4,6,12.7
Tower Hamlets - Bethnal Green South,00BGFX,E05000574,15150,19,76.1,4.9,30.2,28,0.9,16333.3,64.3,56.7,76.1,83.5,135,7,55.9,357500,157,32860,1,2,7.9,89,21.2,44.9,31.5,21.4,121.3,37.2,1.6,16.9,0.3,6.8,7.8
